event_id,session_id,event_type,timestamp
1,14197,video_completed,2025-01-21 18:38:42.319565
2,3581,lesson_started,2025-06-24 10:49:27.772194
3,14713,lesson_started,2025-10-01 05:12:19.106536
4,14298,quiz_submitted,2025-06-08 14:59:47.343997
5,759,lesson_completed,2025-11-16 06:55:16.846712
6,7192,video_completed,2025-06-18 06:52:19.660701
7,4962,lesson_completed,2025-01-10 16:08:36.126118
8,13810,lesson_started,2025-08-07 04:32:20.914231
9,8283,lesson_completed,2025-02-11 06:48:50.260544
10,866,lesson_started,2025-02-02 19:07:21.442702
11,5773,lesson_started,2025-02-17 17:57:20.211157
12,7221,quiz_submitted,2025-06-04 00:25:58.752706
13,10369,lesson_completed,2025-01-07 05:56:13.151379
14,5735,lesson_started,2025-10-02 14:48:54.023078
15,3760,lesson_completed,2025-12-02 14:14:22.010408
16,13861,lesson_started,2025-12-08 02:32:09.373592
17,6234,quiz_submitted,2025-02-21 04:41:18.368022
18,10583,doubt_raised,2025-11-07 03:12:22.850961
19,2883,lesson_started,2025-06-04 08:55:53.666012
20,4870,lesson_started,2025-09-27 06:33:42.419053
21,8244,video_completed,2025-12-13 04:20:57.824885
22,10322,lesson_started,2025-01-29 09:09:07.903447
23,1741,doubt_raised,2025-09-20 03:19:46.414775
24,7354,doubt_raised,2025-12-12 22:00:50.436715
25,11057,doubt_raised,2025-07-15 07:31:44.865177
26,13065,lesson_completed,2025-09-25 20:54:23.587678
27,11384,lesson_completed,2025-11-13 05:46:04.274147
28,3547,lesson_started,2025-08-01 04:50:12.561530
29,5999,lesson_started,2025-05-14 04:33:13.572320
30,2677,lesson_completed,2025-01-06 20:50:19.347141
31,14303,quiz_submitted,2025-11-09 00:15:36.429326
32,6162,lesson_started,2025-03-09 06:17:55.784856
33,2955,quiz_submitted,2025-12-24 22:12:58.270239
34,12720,lesson_completed,2025-08-04 02:16:59.426924
35,8272,quiz_submitted,2025-09-22 02:53:57.507803
36,880,lesson_completed,2025-05-18 09:57:12.864586
37,10955,quiz_submitted,2025-06-15 05:08:24.201324
38,808,lesson_started,2025-08-20 15:15:49.657983
39,10198,lesson_started,2025-02-01 06:05:06.641023
40,12231,lesson_started,2025-09-25 11:08:44.183148
41,2877,lesson_started,2025-06-16 20:10:37.744448
42,13878,video_completed,2025-12-06 06:05:17.611528
43,13259,lesson_completed,2025-02-10 18:13:12.410708
44,12342,video_completed,2025-03-06 19:12:07.196518
45,6038,doubt_raised,2025-10-12 05:21:01.013958
46,12766,doubt_raised,2025-08-03 15:29:04.704948
47,12996,video_completed,2025-12-26 04:27:18.970921
48,14156,lesson_completed,2025-09-08 15:30:43.410714
49,11768,lesson_started,2025-05-28 17:49:13.757057
50,11001,video_completed,2025-08-26 12:51:57.358908
51,10757,video_completed,2025-04-23 13:26:54.688858
52,6234,lesson_completed,2025-02-21 04:51:27.979449
53,170,lesson_started,2025-09-26 17:45:19.226044
54,9664,quiz_submitted,2025-10-23 14:18:46.987915
55,2981,lesson_started,2025-09-28 11:02:33.086637
56,5201,quiz_submitted,2025-11-11 16:43:45.282640
57,9147,lesson_started,2025-01-14 07:39:23.999262
58,11409,lesson_started,2025-08-21 21:53:08.337178
59,10079,lesson_started,2025-08-04 12:09:38.143257
60,14962,lesson_started,2025-07-17 23:28:44.225052
61,11138,lesson_completed,2025-04-28 10:56:27.309931
62,1290,lesson_started,2025-05-02 21:08:14.301641
63,5492,video_completed,2025-12-07 15:40:38.743669
