session_id,user_id,start_time,duration_minutes,session_goal,is_duration_mismatch
1,1323,2025-06-06 00:18:03,100.8,deep_study,False
2,486,2025-01-20 03:25:30,50.7,quick_quiz,True
3,1072,2025-12-15 08:56:17,28.8,quick_quiz,False
4,866,2025-11-05 05:22:24,20.1,quick_quiz,False
5,918,2025-07-10 22:13:23,19.2,quick_quiz,False
6,1920,2025-12-04 10:44:06,101.1,deep_study,False
7,1793,2025-10-16 20:00:24,19.5,quick_quiz,False
8,426,2025-04-15 15:10:34,54.8,revision,False
9,149,2025-02-04 16:12:49,24.1,quick_quiz,False
10,362,2025-11-16 23:57:06,72.7,deep_study,False
11,812,2025-07-20 14:08:31,44.5,revision,False
12,1722,2025-07-20 02:39:42,27.3,quick_quiz,False
13,891,2025-10-03 13:39:58,63.9,deep_study,False
14,1513,2025-11-27 14:38:51,34.1,revision,False
15,915,2025-03-09 11:20:58,94.1,deep_study,False
16,1020,2025-11-22 01:11:17,110.0,deep_study,False
17,1531,2025-01-20 15:14:47,31.0,revision,False
18,1779,2025-04-17 09:39:19,51.1,revision,False
19,473,2025-06-04 03:46:12,22.0,quick_quiz,False
20,1126,2025-01-12 20:52:10,67.4,deep_study,False
21,1254,2025-06-23 05:59:07,44.7,revision,False
22,1699,2025-08-16 22:07:13,56.1,revision,False
23,1473,2025-11-22 07:29:56,80.7,deep_study,False
24,805,2025-09-25 12:33:08,26.2,quick_quiz,False
25,1633,2025-01-20 06:46:52,61.6,deep_study,False
26,567,2025-03-25 05:35:38,94.3,deep_study,False
27,1316,2025-09-21 04:34:39,24.7,quick_quiz,False
28,1514,2025-07-19 08:07:40,49.5,revision,False
29,1638,2025-02-21 09:15:24,88.4,revision,True
30,264,2025-01-04 06:53:15,48.0,revision,False
31,1915,2025-04-29 15:05:26,24.1,quick_quiz,False
32,1166,2025-04-17 22:42:51,51.3,revision,False
33,1871,2025-05-16 10:12:19,41.3,revision,False
34,656,2025-04-28 08:11:46,18.3,quick_quiz,False
35,1744,2025-06-04 05:43:47,109.5,deep_study,False
36,950,2025-09-15 05:36:00,30.2,revision,False
37,308,2025-08-07 01:09:34,27.6,quick_quiz,False
38,818,2025-04-26 21:59:50,24.1,quick_quiz,False
39,384,2025-05-11 14:23:26,44.5,revision,False
40,49,2025-12-01 13:41:01,24.6,quick_quiz,False
41,1173,2025-12-13 13:31:35,49.7,revision,False
42,102,2025-07-20 21:31:32,71.3,deep_study,False
43,151,2025-11-09 19:09:00,114.0,deep_study,False
44,1262,2025-06-06 22:28:13,54.3,revision,False
45,1229,2025-10-08 02:50:48,50.4,revision,False
46,560,2025-04-11 18:01:41,30.0,deep_study,True
47,294,2025-10-14 02:50:27,21.1,quick_quiz,False
48,1240,2025-10-05 01:05:01,40.3,deep_study,True
49,364,2025-11-01 19:46:14,23.0,quick_quiz,False
50,1500,2025-05-20 05:26:07,58.2,revision,False
51,825,2025-11-23 11:19:13,110.7,deep_study,False
52,1960,2025-04-25 02:15:57,23.4,quick_quiz,False
53,608,2025-04-11 10:48:35,16.9,quick_quiz,False
54,1533,2025-12-21 10:16:45,93.5,deep_study,False
55,861,2025-05-11 08:19:16,100.8,deep_study,False
56,239,2025-03-28 17:34:01,36.7,revision,False
57,547,2025-11-03 01:32:06,19.6,quick_quiz,False
58,1995,2025-08-16 09:54:52,82.3,deep_study,False
59,966,2025-07-02 17:43:07,27.8,quick_quiz,False
60,1592,2025-08-14 08:54:36,24.5,quick_quiz,False
61,696,2025-12-12 10:03:06,32.1,revision,False
62,1191,2025-09-22 08:33:46,16.8,quick_quiz,False
63,651,2025-01-21 23:53:38,19.5,quick_quiz,False
64,551,2025-03-19 18:53:58,17.3,quick_quiz,False
65,1358,2025-12-13 17:55:10,59.6,revision,False
66,1232,2025-05-03 20:54:27,87.5,deep_study,False
67,560,2025-02-01 09:13:02,70.8,deep_study,False
68,246,2025-03-10 16:07:17,97.9,deep_study,False
69,1540,2025-06-25 13:26:29,31.7,revision,False
70,222,2025-03-07 11:31:10,26.4,quick_quiz,False
71,1206,2025-11-01 22:41:45,17.4,quick_quiz,False
72,1358,2025-08-27 15:21:58,65.3,deep_study,False
73,969,2025-06-16 14:48:25,42.9,revision,False
74,53,2025-01-15 15:37:31,83.0,deep_study,False
75,275,2025-01-06 11:12:29,103.8,deep_study,False
76,866,2025-07-26 05:35:37,52.7,revision,False
77,296,2025-09-01 09:08:43,50.3,revision,False
78,1197,2025-12-07 14:05:38,73.6,deep_study,False
79,32,2025-05-29 22:56:58,67.7,deep_study,False
80,793,2025-01-26 08:31:08,78.4,deep_study,False
81,758,2025-04-23 22:42:41,38.9,revision,False
82,1103,2025-07-23 13:07:49,91.2,deep_study,False
83,685,2025-02-21 23:00:28,56.6,revision,False
84,1738,2025-05-20 12:27:39,28.5,quick_quiz,False
85,1117,2025-12-19 04:52:00,34.9,revision,False
86,729,2025-03-30 17:00:45,21.1,quick_quiz,False
87,75,2025-03-24 00:26:08,29.8,quick_quiz,False
88,1346,2025-03-07 15:03:07,47.7,revision,False
89,75,2025-11-04 15:09:36,51.3,revision,False
90,991,2025-08-31 00:02:13,26.6,deep_study,True
91,567,2025-09-11 19:41:30,99.7,quick_quiz,True
92,1110,2025-02-14 23:14:21,31.4,revision,False
93,149,2025-08-01 13:02:29,41.4,revision,False
94,1423,2025-03-21 19:21:05,51.1,revision,False
95,1036,2025-04-27 22:36:31,48.9,revision,False
96,1186,2025-07-22 01:38:00,66.1,deep_study,False
97,1898,2025-02-23 06:27:24,48.2,revision,False
98,625,2025-07-18 16:18:56,57.0,revision,False
99,1631,2025-02-14 06:40:26,67.1,deep_study,False
100,588,2025-08-25 12:18:29,44.9,revision,False
101,634,2025-07-23 04:04:30,18.9,quick_quiz,False
102,275,2025-06-09 03:12:17,20.4,quick_quiz,False
103,143,2025-07-12 18:21:40,62.4,deep_study,False
104,1812,2025-07-06 16:06:45,50.6,revision,False
105,699,2025-09-18 20:04:28,60.2,deep_study,False
106,1242,2025-08-11 23:29:29,33.3,revision,False
107,1989,2025-02-04 23:37:52,17.2,quick_quiz,False
108,1280,2025-10-09 00:13:10,32.3,revision,False
109,1003,2025-03-31 18:34:12,37.7,revision,False
110,218,2025-04-13 13:49:25,118.6,deep_study,False
111,155,2025-03-09 20:20:19,66.0,deep_study,False
112,391,2025-05-20 21:26:38,55.6,revision,False
113,1583,2025-10-14 19:41:36,39.4,revision,False
